Bounce,Frequency
0,80785
1,26585
2,41399
3,43720
4,44824
5,42771
6,42265
7,40156
8,38167
9,36501
10,34223
11,32704
12,30684
13,28936
14,27208
15,25853
16,24522
17,23042
18,21872
19,20537
20,19498
21,18286
22,17379
23,16067
24,15379
25,14228
26,13604
27,12913
28,12135
29,11464
30,10720
31,10032
32,9668
33,9143
34,8636
35,7881
36,7532
37,7158
38,6776
39,6352
40,5954
41,5584
42,5362
43,5148
44,4750
45,4503
46,4186
47,4060
48,3894
49,3614
50,3259
51,3115
52,3082
53,2784
54,2677
55,2545
56,2432
57,2288
58,2070
59,1986
60,1940
61,1752
62,1716
63,1523
64,1492
65,1428
66,1371
67,1255
68,1157
69,1079
70,1078
71,1039
72,921
73,884
74,855
75,782
76,733
77,771
78,687
79,632
80,605
81,572
82,507
83,518
84,482
85,492
86,424
87,431
88,406
89,365
90,339
91,323
92,283
93,276
94,259
95,270
96,248
97,234
98,222
99,207
100,202
101,166
102,174
103,158
104,164
105,145
106,145
107,127
108,93
109,113
110,113
111,109
112,103
113,94
114,85
115,83
116,75
117,75
118,64
119,69
120,71
121,55
122,49
123,53
124,50
125,64
126,42
127,45
128,44
129,36
130,38
131,39
132,37
133,36
134,30
135,29
136,22
137,18
138,21
139,27
140,15
141,16
142,29
143,17
144,23
145,15
146,22
147,16
148,15
149,9
150,10
151,13
152,9
153,12
154,12
155,7
156,8
157,11
158,14
159,5
160,7
161,8
162,9
163,6
164,10
165,10
166,5
167,5
168,6
169,2
170,3
171,6
172,7
173,4
174,8
175,5
176,9
178,1
179,1
180,4
181,4
182,2
183,4
184,5
185,6
186,4
187,1
188,3
189,5
190,2
191,1
193,4
194,1
195,4
197,2
199,1
201,1
207,2
209,2
210,2
212,1
214,2
215,2
217,1
218,1
219,1
220,2
222,1
223,1
225,2
226,1
229,1
230,1
231,1
232,2
235,2
238,3
240,1
243,2
246,1
248,1
252,1
253,1
254,1
258,1
259,1
260,2
261,1
268,1
272,1
274,1
279,1
281,1
282,1
288,1
290,3
297,2
299,1
301,1
304,1
305,1
311,2
313,2
318,1
319,1
320,1
323,1
331,1
332,1
336,1
340,1
343,1
345,1
351,1
356,1
358,1
362,1
368,1
372,1
375,1
381,1
398,1
