GAP_DISTANCE_MINUS_BALL_DIAMETER = 50
Trial 1: 17 bounces
Trial 2: 4 bounces
Trial 3: 0 bounces
Trial 4: 18 bounces
Trial 5: 9 bounces
Trial 6: 11 bounces
Trial 7: 2 bounces
Trial 8: 1 bounces
Trial 9: 2 bounces
Trial 10: 32 bounces
Trial 11: 64 bounces
Trial 12: 33 bounces
Trial 13: 13 bounces
Trial 14: 9 bounces
Trial 15: 3 bounces
Trial 16: 11 bounces
Trial 17: 20 bounces
Trial 18: 28 bounces
Trial 19: 31 bounces
Trial 20: 3 bounces
Trial 21: 22 bounces
Trial 22: 20 bounces
Trial 23: 2 bounces
Trial 24: 0 bounces
Trial 25: 24 bounces
Trial 26: 10 bounces
Trial 27: 8 bounces
Trial 28: 5 bounces
Trial 29: 14 bounces
Trial 30: 0 bounces
Trial 31: 4 bounces
Trial 32: 1 bounces
Trial 33: 14 bounces
Trial 34: 3 bounces
Trial 35: 2 bounces
Trial 36: 54 bounces
Trial 37: 61 bounces
Trial 38: 22 bounces
Trial 39: 5 bounces
Trial 40: 6 bounces
Trial 41: 13 bounces
Trial 42: 23 bounces
Trial 43: 52 bounces
Trial 44: 53 bounces
Trial 45: 5 bounces
Trial 46: 25 bounces
Trial 47: 30 bounces
Trial 48: 10 bounces
Trial 49: 8 bounces
Trial 50: 84 bounces
Trial 51: 42 bounces
Trial 52: 4 bounces
Trial 53: 35 bounces
Trial 54: 32 bounces
Trial 55: 26 bounces
Trial 56: 6 bounces
Trial 57: 0 bounces
Trial 58: 45 bounces
Trial 59: 14 bounces
Trial 60: 15 bounces
Trial 61: 4 bounces
Trial 62: 0 bounces
Trial 63: 18 bounces
Trial 64: 119 bounces
Trial 65: 9 bounces
Trial 66: 0 bounces
Trial 67: 3 bounces
Trial 68: 33 bounces
Trial 69: 6 bounces
Trial 70: 6 bounces
Trial 71: 33 bounces
Trial 72: 4 bounces
Trial 73: 4 bounces
Trial 74: 8 bounces
Trial 75: 5 bounces
Trial 76: 51 bounces
Trial 77: 33 bounces
Trial 78: 40 bounces
Trial 79: 0 bounces
Trial 80: 6 bounces
Trial 81: 11 bounces
Trial 82: 4 bounces
Trial 83: 2 bounces
Trial 84: 62 bounces
Trial 85: 4 bounces
Trial 86: 27 bounces
Trial 87: 40 bounces
Trial 88: 24 bounces
Trial 89: 17 bounces
Trial 90: 17 bounces
Trial 91: 14 bounces
Trial 92: 16 bounces
Trial 93: 3 bounces
Trial 94: 18 bounces
Trial 95: 1 bounces
Trial 96: 10 bounces
Trial 97: 33 bounces
Trial 98: 18 bounces
Trial 99: 6 bounces
Trial 100: 12 bounces
Trial 101: 29 bounces
Trial 102: 21 bounces
Trial 103: 5 bounces
Trial 104: 7 bounces
Trial 105: 6 bounces
Trial 106: 3 bounces
Trial 107: 16 bounces
Trial 108: 8 bounces
Trial 109: 3 bounces
Trial 110: 28 bounces
Trial 111: 22 bounces
Trial 112: 3 bounces
Trial 113: 16 bounces
Trial 114: 25 bounces
Trial 115: 16 bounces
Trial 116: 23 bounces
Trial 117: 4 bounces
Trial 118: 45 bounces
Trial 119: 12 bounces
Trial 120: 20 bounces
Trial 121: 20 bounces
Trial 122: 0 bounces
Trial 123: 9 bounces
Trial 124: 25 bounces
Trial 125: 32 bounces
Trial 126: 0 bounces
Trial 127: 68 bounces
Trial 128: 34 bounces
Trial 129: 21 bounces
Trial 130: 0 bounces
Trial 131: 5 bounces
Trial 132: 18 bounces
Trial 133: 14 bounces
